State,District,Latitude,Longitude,District code,Population,Male,Female,Literate,Higher_Education,Graduate_Education,Hindus,sex_ratio,literacy_rate
Arunachal Pradesh,Upper Subansiri,28.277196566523585,93.8991435622318,249,83448,41758,41690,45278,8017,4276,13474,100.0,54.0
Arunachal Pradesh,West Kameng,27.46486582278483,92.65015750452083,246,83947,46155,37792,48492,3987,2693,31265,82.0,58.0
Arunachal Pradesh,West Siang,28.106296920289843,94.53510344202908,250,112274,58168,54106,64746,8418,6030,15881,93.0,58.0
Assam,Barpeta,26.427872264631056,90.97912010178116,303,1693622,867004,826618,897058,87377,46947,492966,95.0,53.0
Assam,Bongaigaon,26.45012521994133,90.6734296187684,319,738804,375818,362986,434078,35491,20221,359145,97.0,59.0
Assam,Cachar,24.815570668693017,92.86849650455927,316,1736617,886284,850333,1174128,79766,45341,1038985,96.0,68.0
Assam,Darrang,26.58463215962442,92.04141338028155,325,928500,475273,453227,487039,47398,22267,327322,95.0,52.0
Assam,Dhemaji,27.586533438485816,94.71336908517353,308,686133,351249,334884,423028,55399,28006,655052,95.0,62.0
Assam,Dibrugarh,27.30612284482757,95.0998282327587,310,1326335,676434,649901,884531,89500,59380,1198401,96.0,67.0
Assam,Goalpara,26.017277777777807,90.59869891598912,302,1008183,513292,494891,563577,39885,18294,347878,96.0,56.0
Assam,Golaghat,26.377219709794485,93.82583397823468,313,1066888,543161,523727,721764,66197,36887,917426,96.0,68.0
Assam,Hailakandi,24.457496089385486,92.59154664804475,318,659296,337890,321406,407366,28504,11608,251194,95.0,62.0
